discovered,discovery_update,elapsed_seconds,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,10,901.4582392880693,barnes_group,0.415040214832372,0,1729,1408,0.9656727256811818,0.010718477449450606,1.0,0.0,100
True,0,866.6589106274769,barnes_group,0.14224010877543977,1,1730,128,0.9602273226539768,0.017957452801595858,1.0,0.0,100
True,0,851.5486811446026,barnes_group,0.7923840251575887,2,1731,128,0.9624789180663533,0.014612686044524247,1.0,0.0,100
True,1,836.241621918045,barnes_group,0.4905698886757268,3,1732,256,0.9500906257957732,0.018643629119538915,1.0,0.0,100
True,1,842.7624306669459,barnes_group,-0.06289345535134291,4,1733,256,0.9090810305707375,0.046999019784824916,1.0,0.0,100
True,8,823.7570949308574,barnes_group,-0.8113043478260874,5,1734,1152,-0.8010000000000005,0.08699062260412121,0.0,0.0,100
True,0,709.5836344948038,barnes_group,-0.8166500000000005,6,1735,128,-0.8365000000000006,0.27758877195554854,0.05,0.22360679774997896,100
True,4,630.2357088569552,barnes_group,-1.038645833333334,7,1736,640,-1.0245000000000006,0.3338842377389602,0.0,0.0,100
True,25,642.0926428493112,barnes_group,-0.7366000000000005,8,1737,3328,-0.6195000000000004,0.2956255633131386,0.1,0.30779350562554625,100
True,1,816.4861170006916,barnes_group,0.09835515123867643,9,1738,256,0.9590896836131334,0.014601080561665411,1.0,0.0,100
