discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,source_dir,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,85,716.8376875710092,hard,straddle_abuse,0.3071851851851855,9,1738,experiments/results/loophole_learning_metrics_hard_straddle_abuse_927712_4_20260807_135845,11008,0.3793333333333334,0.9796375455227265,0.005555555555555555,0.024845199749997663,100
True,9,786.8798034249921,hard,subsidiary_stock_comp,1.5630963061906806,0,1729,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,1280,1.8732295667925745,0.08399176469612513,0.9112205379161902,0.04912988067340884,100
True,4,769.2047693420318,hard,subsidiary_stock_comp,1.561326974005772,1,1730,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,640,1.8556104841402845,0.09506809038272684,0.8991310050657877,0.06206571446460078,100
True,4,768.1127716180054,hard,subsidiary_stock_comp,1.5985593961075215,2,1731,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,640,1.8613151441520075,0.139815453606989,0.8648022597084045,0.08295704392587579,100
True,1,771.2432983259787,hard,subsidiary_stock_comp,1.3617965923209145,3,1732,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,256,1.6883475220036612,0.13945687203185603,0.7790350877192982,0.09555112041885704,100
True,0,760.3502615059842,hard,subsidiary_stock_comp,1.6908297434632868,4,1733,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,128,1.8703364718286128,0.10739014577975277,0.9106513546839634,0.06645760082738036,100
True,1,762.8421489140019,hard,subsidiary_stock_comp,1.6567453223604824,5,1734,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,256,1.9748576555131927,0.1171544345841345,0.8899269898376104,0.05156011590239833,100
True,6,761.6258882179973,hard,subsidiary_stock_comp,1.6931795297632806,6,1735,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,896,1.8821985093885616,0.12956797491038993,0.9223672145085189,0.08007933811464407,100
True,0,762.5765281590284,hard,subsidiary_stock_comp,1.715960568724271,7,1736,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,128,2.033683565816898,0.13524333648379283,0.8871588061061745,0.07592750716034379,100
True,3,764.6776000179816,hard,subsidiary_stock_comp,1.628473110496895,8,1737,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,512,1.8898063331901631,0.09722551157006291,0.9134481561111996,0.06718698279329713,100
True,2,763.0587993380032,hard,subsidiary_stock_comp,1.606310762840535,9,1738,experiments/results/loophole_learning_metrics_hard_subsidiary_stock_comp_927707_5_20260807_135845,384,1.8789579913743442,0.1455746692266066,0.9086517315212967,0.08594035904115109,100
